Year,Month,Seasonally Adjusted CO2 (Filled)
2022-01-01,1900-03-01,   416.92
2022-01-01,1900-04-01,   417.25
2022-01-01,1900-05-01,   417.36
2022-01-01,1900-06-01,   418.09
2022-01-01,1900-07-01,   417.87
2022-01-01,1900-08-01,   418.31
2022-01-01,1900-09-01,   418.91
2022-01-01,1900-10-01,   418.93
2022-01-01,1900-11-01,   419.31
2022-01-01,1900-12-01,   419.49
2023-01-01,1900-01-01,   419.17
2023-01-01,1900-02-01,   419.55
2023-01-01,1900-03-01,   418.97
2023-01-01,1900-04-01,   419.95
2023-01-01,1900-05-01,   420.36
2023-01-01,1900-06-01,   420.80
2023-01-01,1900-07-01,   -99.99
2023-01-01,1900-08-01,   -99.99
2023-01-01,1900-09-01,   -99.99
2023-01-01,1900-10-01,   -99.99
2023-01-01,1900-11-01,   -99.99
2023-01-01,1900-12-01,   -99.99
